outputscale,omega,lml
-5.000000000000000000e+00,-6.000000000000000000e+00,-4.210280513249350586e+11
-4.977500000000000036e+00,-6.000000000000000000e+00,-4.209997268077041626e+11
-4.955000000000000071e+00,-6.000000000000000000e+00,-4.209727865248317871e+11
-4.932500000000000107e+00,-6.000000000000000000e+00,-4.209471619864401855e+11
-4.910000000000000142e+00,-6.000000000000000000e+00,-4.209227876876124268e+11
-4.887500000000000178e+00,-6.000000000000000000e+00,-4.208995993191318970e+11
-4.865000000000000213e+00,-6.000000000000000000e+00,-4.208775361743041992e+11
-4.842500000000000249e+00,-6.000000000000000000e+00,-4.208565413949963379e+11
-4.820000000000000284e+00,-6.000000000000000000e+00,-4.208365603928509521e+11
-4.797500000000000320e+00,-6.000000000000000000e+00,-4.208175425701701050e+11
-4.775000000000000355e+00,-6.000000000000000000e+00,-4.207994360355201416e+11
-4.752500000000000391e+00,-6.000000000000000000e+00,-4.207821929438134766e+11
-4.730000000000000426e+00,-6.000000000000000000e+00,-4.207657706339678345e+11
-4.707499999999999574e+00,-6.000000000000000000e+00,-4.207501228969877930e+11
-4.684999999999999609e+00,-6.000000000000000000e+00,-4.207352122345207520e+11
-4.662499999999999645e+00,-6.000000000000000000e+00,-4.207209976819818726e+11
-4.639999999999999680e+00,-6.000000000000000000e+00,-4.207074382588884277e+11
-4.617499999999999716e+00,-6.000000000000000000e+00,-4.206945079028874512e+11
-4.594999999999999751e+00,-6.000000000000000000e+00,-4.206821616877481079e+11
-4.572499999999999787e+00,-6.000000000000000000e+00,-4.206703721343770752e+11
-4.549999999999999822e+00,-6.000000000000000000e+00,-4.206591096082579346e+11
-4.527499999999999858e+00,-6.000000000000000000e+00,-4.206483401514845581e+11
-4.504999999999999893e+00,-6.000000000000000000e+00,-4.206380380346782837e+11
-4.482499999999999929e+00,-6.000000000000000000e+00,-4.206281752452689209e+11
-4.459999999999999964e+00,-6.000000000000000000e+00,-4.206187252364544678e+11
-4.437500000000000000e+00,-6.000000000000000000e+00,-4.206096636962725220e+11
-4.415000000000000036e+00,-6.000000000000000000e+00,-4.206009661989524536e+11
-4.392500000000000071e+00,-6.000000000000000000e+00,-4.205926083246085815e+11
-4.370000000000000107e+00,-6.000000000000000000e+00,-4.205845689310565796e+11
-4.347500000000000142e+00,-6.000000000000000000e+00,-4.205768313676517334e+11
-4.325000000000000178e+00,-6.000000000000000000e+00,-4.205693682679263306e+11
