outputscale,omega,lml
-5.000000000000000000e+00,-6.000000000000000000e+00,-2.588929542561778564e+11
-4.977500000000000036e+00,-6.000000000000000000e+00,-2.588742350150731506e+11
-4.955000000000000071e+00,-6.000000000000000000e+00,-2.588563353166078491e+11
-4.932500000000000107e+00,-6.000000000000000000e+00,-2.588392079064798584e+11
-4.910000000000000142e+00,-6.000000000000000000e+00,-2.588228066622194214e+11
-4.887500000000000178e+00,-6.000000000000000000e+00,-2.588070874891114807e+11
-4.865000000000000213e+00,-6.000000000000000000e+00,-2.587920092471156006e+11
-4.842500000000000249e+00,-6.000000000000000000e+00,-2.587775310068070374e+11
-4.820000000000000284e+00,-6.000000000000000000e+00,-2.587636144930905457e+11
-4.797500000000000320e+00,-6.000000000000000000e+00,-2.587502228093542175e+11
-4.775000000000000355e+00,-6.000000000000000000e+00,-2.587373203408650818e+11
-4.752500000000000391e+00,-6.000000000000000000e+00,-2.587248709241923523e+11
-4.730000000000000426e+00,-6.000000000000000000e+00,-2.587128434605138550e+11
-4.707499999999999574e+00,-6.000000000000000000e+00,-2.587012040466917114e+11
-4.684999999999999609e+00,-6.000000000000000000e+00,-2.586899231229744263e+11
-4.662499999999999645e+00,-6.000000000000000000e+00,-2.586789688770948792e+11
-4.639999999999999680e+00,-6.000000000000000000e+00,-2.586683139659509277e+11
-4.617499999999999716e+00,-6.000000000000000000e+00,-2.586579283211847229e+11
-4.594999999999999751e+00,-6.000000000000000000e+00,-2.586477845684680786e+11
-4.572499999999999787e+00,-6.000000000000000000e+00,-2.586378559261375122e+11
-4.549999999999999822e+00,-6.000000000000000000e+00,-2.586281149253642273e+11
-4.527499999999999858e+00,-6.000000000000000000e+00,-2.586185375555014038e+11
-4.504999999999999893e+00,-6.000000000000000000e+00,-2.586090956324999084e+11
-4.482499999999999929e+00,-6.000000000000000000e+00,-2.585997643567318420e+11
-4.459999999999999964e+00,-6.000000000000000000e+00,-2.585905197568725281e+11
-4.437500000000000000e+00,-6.000000000000000000e+00,-2.585813390023867188e+11
-4.415000000000000036e+00,-6.000000000000000000e+00,-2.585721909823778381e+11
-4.392500000000000071e+00,-6.000000000000000000e+00,-2.585630588314737549e+11
-4.370000000000000107e+00,-6.000000000000000000e+00,-2.585539124735051270e+11
-4.347500000000000142e+00,-6.000000000000000000e+00,-2.585447325209012146e+11
-4.325000000000000178e+00,-6.000000000000000000e+00,-2.585354892590639038e+11
-4.302500000000000213e+00,-6.000000000000000000e+00,-2.585261627220987244e+11
-4.280000000000000249e+00,-6.000000000000000000e+00,-2.585167234456557007e+11
-4.257500000000000284e+00,-6.000000000000000000e+00,-2.585071504046478271e+11
-4.235000000000000320e+00,-6.000000000000000000e+00,-2.584974142559005737e+11
-4.212500000000000355e+00,-6.000000000000000000e+00,-2.584874908810986328e+11
-4.190000000000000391e+00,-6.000000000000000000e+00,-2.584773553898951111e+11
-4.167500000000000426e+00,-6.000000000000000000e+00,-2.584669787070223694e+11
-4.144999999999999574e+00,-6.000000000000000000e+00,-2.584563316973614197e+11
-4.122500000000000497e+00,-6.000000000000000000e+00,-2.584453857128614502e+11
-4.099999999999999645e+00,-6.000000000000000000e+00,-2.584341146812123413e+11
-4.077499999999999680e+00,-6.000000000000000000e+00,-2.584224922616500854e+11
-4.054999999999999716e+00,-6.000000000000000000e+00,-2.584104755738900452e+11
-4.032499999999999751e+00,-6.000000000000000000e+00,-2.583980400812399292e+11
-4.009999999999999787e+00,-6.000000000000000000e+00,-2.583851594896669617e+11
-3.987499999999999822e+00,-6.000000000000000000e+00,-2.583717793589124756e+11
-3.964999999999999858e+00,-6.000000000000000000e+00,-2.583578845903942871e+11
-3.942499999999999893e+00,-6.000000000000000000e+00,-2.583434356744019775e+11
-3.919999999999999929e+00,-6.000000000000000000e+00,-2.583283831561479797e+11
-3.897499999999999964e+00,-6.000000000000000000e+00,-2.583126909691599121e+11
-3.875000000000000000e+00,-6.000000000000000000e+00,-2.582963199857802734e+11
-3.852500000000000036e+00,-6.000000000000000000e+00,-2.582792370833792725e+11
-3.830000000000000071e+00,-6.000000000000000000e+00,-2.582613747528040771e+11
-3.807500000000000107e+00,-6.000000000000000000e+00,-2.582427103332767334e+11
-3.785000000000000142e+00,-6.000000000000000000e+00,-2.582231654354632568e+11
-3.762500000000000178e+00,-6.000000000000000000e+00,-2.582027152737489014e+11
-3.740000000000000213e+00,-6.000000000000000000e+00,-2.581812830114115601e+11
-3.717500000000000249e+00,-6.000000000000000000e+00,-2.581588398827562561e+11
-3.695000000000000284e+00,-6.000000000000000000e+00,-2.581353146563813782e+11
-3.672500000000000320e+00,-6.000000000000000000e+00,-2.581106263934610596e+11
-3.650000000000000355e+00,-6.000000000000000000e+00,-2.580847384928478088e+11
-3.627499999999999947e+00,-6.000000000000000000e+00,-2.580575643188203430e+11
-3.604999999999999982e+00,-6.000000000000000000e+00,-2.580290459257373047e+11
-3.582500000000000018e+00,-6.000000000000000000e+00,-2.579990891715346069e+11
-3.560000000000000053e+00,-6.000000000000000000e+00,-2.579676383693671570e+11
-3.537500000000000089e+00,-6.000000000000000000e+00,-2.579345965325541687e+11
-3.515000000000000124e+00,-6.000000000000000000e+00,-2.578998875555991516e+11
-3.492500000000000160e+00,-6.000000000000000000e+00,-2.578634237657946472e+11
-3.469999999999999751e+00,-6.000000000000000000e+00,-2.578250858573407898e+11
-3.447499999999999787e+00,-6.000000000000000000e+00,-2.577848035207361755e+11
-3.424999999999999822e+00,-6.000000000000000000e+00,-2.577424772435765381e+11
-3.402499999999999858e+00,-6.000000000000000000e+00,-2.576979571834867249e+11
-3.379999999999999893e+00,-6.000000000000000000e+00,-2.576511540139310303e+11
-3.357499999999999929e+00,-6.000000000000000000e+00,-2.576019501290605774e+11
-3.334999999999999964e+00,-6.000000000000000000e+00,-2.575502215793501587e+11
-3.312500000000000000e+00,-6.000000000000000000e+00,-2.574958339704427795e+11
-3.290000000000000036e+00,-6.000000000000000000e+00,-2.574386362367001038e+11
-3.267500000000000071e+00,-6.000000000000000000e+00,-2.573785075365903931e+11
-3.245000000000000107e+00,-6.000000000000000000e+00,-2.573153022959369507e+11
-3.222500000000000142e+00,-6.000000000000000000e+00,-2.572487890639888916e+11
