problem,Dx,N_over_Dx,noise,model,RRMSE_median,RRMSE_std,NIS_median,NIS_std
ackley,20,20,0.002,gpplus,0.24783786806666502,0.006457878942776992,1.234693902431347,0.026592863741748185
ackley,20,20,0.08,gpplus,0.26923671929167714,0.006608236656541731,1.3233821250556659,0.0335287037791035
ackley,20,5,0.002,gpplus,0.4688375910043802,0.046046695685476625,2.6037379173709057,0.570070248430252
ackley,20,5,0.08,gpplus,0.481666836067171,0.028315956162312465,2.6553024735519735,0.352509927857208
ackley,40,20,0.002,gpplus,0.25789713653049723,0.0035721683238073326,1.2390683364195505,0.018265177282595413
ackley,40,20,0.08,gpplus,0.27620967784187744,0.0039057810764794878,1.3326275835404138,0.02654895766068829
ackley,40,5,0.002,gpplus,0.4495040142946065,0.058904254878783716,2.2733785814806833,0.49307895333371665
ackley,40,5,0.08,gpplus,0.4654241884794633,0.04109084236232044,2.3583803848193323,0.3707328820338408
borehole,8,20,0.002,gpplus,0.004667863669000463,0.0005616343017264346,0.02265164143732793,0.0036419536781869106
borehole,8,20,0.08,gpplus,0.0908446976375732,0.0027816104660222554,0.4195926401379622,0.022290456553220286
borehole,8,5,0.002,gpplus,0.024336576805876458,0.00645264137896041,0.1311500481715488,0.03905857420714853
borehole,8,5,0.08,gpplus,0.12036289122708081,0.018450145160417663,0.6531371850857363,0.13212739176453012
buckling,4,20,0.002,gpplus,0.057723640394151,0.016916259249093013,0.19640622607051245,0.06139644960532618
buckling,4,20,0.08,gpplus,0.2262730351113883,0.05653135544635957,1.1391635402014775,0.4929361901668158
buckling,4,5,0.002,gpplus,0.29733037208844226,0.15414178723952543,6.225797469133408,3.5231604187636036
buckling,4,5,0.08,gpplus,0.5355857835008165,0.12289200258087975,9.781690581650796,3.173098315540451
dixon_price,40,20,0.002,gpplus,0.382811627977776,0.00979469681011243,1.7771223164876813,0.059980282202524875
dixon_price,40,20,0.08,gpplus,0.39295256605339923,0.010300367100624637,1.8167862402495358,0.05573686566124359
dixon_price,40,5,0.002,gpplus,0.6621985200040224,0.05856472702829649,3.478942119164132,0.718235871901426
dixon_price,40,5,0.08,gpplus,0.6851013900666829,0.0591115626943845,3.879431720793236,0.5696487019876357
griewank,20,20,0.002,gpplus,0.003865875673572502,0.0002276076662722369,0.06335144911166805,0.0013027930711430468
griewank,20,20,0.08,gpplus,0.1312390697008889,0.008960977662292442,0.6212301146196173,0.04667937828043262
griewank,20,5,0.002,gpplus,0.8489369209927977,0.0992697257774309,6.113394338779955,1.5449994087314551
griewank,20,5,0.08,gpplus,0.8179657758984173,0.1014442229704233,5.291666369073484,1.5774963954749712
rosenbrock,80,20,0.002,gpplus,0.4378702902862773,0.017073579434222986,2.029909051113001,0.0780036374158965
rosenbrock,80,20,0.08,gpplus,0.4501477778455091,0.017732235202266928,2.075424403732411,0.07373052605296147
